team_id,team_name,team_link,leagues,nationality,region,players,hits,comments
112537,Beijing Renhe FC,https://sofifa.com/team/112537/beijing-renhe-fc/,Chinese Super League (1),China PR,Asia,28,<100,5
1926,Blackpool,https://sofifa.com/team/1926/blackpool/,English League One (3),England,Europe,27,<100,35
112836,Vegalta Sendai,https://sofifa.com/team/112836/vegalta-sendai/,Japanese J. League Division 1 (1),Japan,Asia,25,<100,3
705,Örebro SK,https://sofifa.com/team/705/orebro-sk/,Swedish Allsvenskan (1),Sweden,Europe,27,<100,12
15015,Burton Albion,https://sofifa.com/team/15015/burton-albion/,English League One (3),England,Europe,23,<100,34
15048,Tranmere Rovers,https://sofifa.com/team/15048/tranmere-rovers/,English League Two (4),England,Europe,28,<100,23
561,Forest Green Rovers,https://sofifa.com/team/561/forest-green-rovers/,English League Two (4),England,Europe,23,<100,0.1K
1937,Notts County,https://sofifa.com/team/1937/notts-county/,English League Two (4),England,Europe,28,<100,53
162,FC Energie Cottbus,https://sofifa.com/team/162/fc-energie-cottbus/,German 3. Bundesliga (3),Germany,Europe,28,<100,4
110591,FC Carl Zeiss Jena,https://sofifa.com/team/110591/fc-carl-zeiss-jena/,German 3. Bundesliga (3),Germany,Europe,25,<100,7
100325,HJK Helsinki,https://sofifa.com/team/100325/hjk-helsinki/,Rest of World,Finland,Europe,27,<100,71
2055,Sangju Sangmu FC,https://sofifa.com/team/2055/sangju-sangmu-fc/,Korean K League Classic (1),Korea Republic,Asia,28,<100,10
110313,Accrington Stanley,https://sofifa.com/team/110313/accrington-stanley/,English League One (3),England,Europe,28,<100,26
112528,Atlético Huila,https://sofifa.com/team/112528/atletico-huila/,Colombian Liga Postobón (1),Colombia,South America,28,<100,4
1480,Carlisle United,https://sofifa.com/team/1480/carlisle-united/,English League Two (4),England,Europe,24,<100,5
1934,Swindon Town,https://sofifa.com/team/1934/swindon-town/,English League Two (4),England,Europe,28,<100,8
111089,Zagłębie Sosnowiec,https://sofifa.com/team/111089/zaglebie-sosnowiec/,Polish T-Mobile Ekstraklasa (1),Poland,Europe,26,<100,2
299,Lillestrøm SK,https://sofifa.com/team/299/lillestrom-sk/,Norwegian Eliteserien (1),Norway,Europe,24,<100,2
112259,AFC Wimbledon,https://sofifa.com/team/112259/afc-wimbledon/,English League One (3),England,Europe,28,<100,25
1463,FK Haugesund,https://sofifa.com/team/1463/fk-haugesund/,Norwegian Eliteserien (1),Norway,Europe,25,<100,4
1920,Oldham Athletic,https://sofifa.com/team/1920/oldham-athletic/,English League Two (4),England,Europe,27,<100,28
143,Exeter City,https://sofifa.com/team/143/exeter-city/,English League Two (4),England,Europe,28,<100,19
1757,Sandefjord Fotball,https://sofifa.com/team/1757/sandefjord-fotball/,Norwegian Eliteserien (1),Norway,Europe,22,<100,2
1930,Northampton Town,https://sofifa.com/team/1930/northampton-town/,English League Two (4),England,Europe,28,<100,70
92,Grimsby Town,https://sofifa.com/team/92/grimsby-town/,English League Two (4),England,Europe,24,<100,35
361,Stevenage,https://sofifa.com/team/361/stevenage/,English League Two (4),England,Europe,28,<100,14
184,Hamilton Academical FC,https://sofifa.com/team/184/hamilton-academical-fc/,Scottish Premiership (1),Scotland,Europe,28,<100,8
1524,IK Start,https://sofifa.com/team/1524/ik-start/,Norwegian Eliteserien (1),Norway,Europe,20,<100,12
1928,Port Vale,https://sofifa.com/team/1928/port-vale/,English League Two (4),England,Europe,28,<100,0
112019,Boyacá Chicó FC,https://sofifa.com/team/112019/boyaca-chico-fc/,Colombian Liga Postobón (1),Colombia,South America,28,<100,2
1936,Cheltenham Town,https://sofifa.com/team/1936/cheltenham-town/,English League Two (4),England,Europe,24,<100,4
918,FK Bodø/Glimt,https://sofifa.com/team/918/fk-bodoglimt/,Norwegian Eliteserien (1),Norway,Europe,27,<100,2
112200,Ranheim Fotball,https://sofifa.com/team/112200/ranheim-fotball/,Norwegian Eliteserien (1),Norway,Europe,25,<100,7
306,Shamrock Rovers,https://sofifa.com/team/306/shamrock-rovers/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,20,<100,26
112254,Newport County,https://sofifa.com/team/112254/newport-county/,English League Two (4),England,Europe,24,<100,23
100805,St. Mirren,https://sofifa.com/team/100805/st-mirren/,Scottish Premiership (1),Scotland,Europe,25,<100,8
110890,Crawley Town,https://sofifa.com/team/110890/crawley-town/,English League Two (4),England,Europe,24,<100,11
112448,V-Varen Nagasaki,https://sofifa.com/team/112448/v-varen-nagasaki/,Japanese J. League Division 1 (1),Japan,Asia,24,<100,3
1959,Macclesfield Town,https://sofifa.com/team/1959/macclesfield-town/,English League Two (4),England,Europe,28,<100,12
703,Trelleborgs FF,https://sofifa.com/team/703/trelleborgs-ff/,Swedish Allsvenskan (1),Sweden,Europe,24,<100,1
1944,Cambridge United,https://sofifa.com/team/1944/cambridge-united/,English League Two (4),England,Europe,28,<100,5
346,Yeovil Town,https://sofifa.com/team/346/yeovil-town/,English League Two (4),England,Europe,28,<100,7
422,Cork City,https://sofifa.com/team/422/cork-city/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,25,<100,7
111769,Changchun Yatai FC,https://sofifa.com/team/111769/changchun-yatai-fc/,Chinese Super League (1),China PR,Asia,24,<100,2
110854,CF Reus Deportiu,https://sofifa.com/team/110854/cf-reus-deportiu/,Spanish Segunda División (2),Spain,Europe,21,<100,37
423,St. Patrick's Athletic,https://sofifa.com/team/423/st-patricks-athletic/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,22,<100,1
113876,Dalkurd FF,https://sofifa.com/team/113876/dalkurd-ff/,Swedish Allsvenskan (1),Sweden,Europe,18,<100,3
357,Morecambe,https://sofifa.com/team/357/morecambe/,English League Two (4),England,Europe,28,<100,33
111705,IF Brommapojkarna,https://sofifa.com/team/111705/if-brommapojkarna/,Swedish Allsvenskan (1),Sweden,Europe,22,<100,3
121,Crewe Alexandra,https://sofifa.com/team/121/crewe-alexandra/,English League Two (4),England,Europe,27,<100,14
112970,Itagüí Leones FC,https://sofifa.com/team/112970/itagui-leones-fc/,Colombian Liga Postobón (1),Colombia,South America,18,<100,1
112668,San Luis de Quillota,https://sofifa.com/team/112668/san-luis-de-quillota/,Chilian Campeonato Nacional (1),Chile,South America,20,<100,3
753,Waterford FC,https://sofifa.com/team/753/waterford-fc/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,23,<100,4
305,Bohemian FC,https://sofifa.com/team/305/bohemian-fc/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,25,<100,4
445,Derry City,https://sofifa.com/team/445/derry-city/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,23,<100,9
563,Sligo Rovers,https://sofifa.com/team/563/sligo-rovers/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,20,<100,3
111285,Limerick FC,https://sofifa.com/team/111285/limerick-fc/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,19,<100,3
838,Bray Wanderers,https://sofifa.com/team/838/bray-wanderers/,Rep. Ireland Airtricity League (1),Republic of Ireland,Europe,25,<100,19
